图像编号,钻孔编号,裂隙编号,JRC值
0-1m.jpg,1,1,
1-2m.jpg,1,2,
2-3m.jpg,1,3,
3-4m.jpg,1,4,
4-5m.jpg,1,5,
5-6m.jpg,1,6,
6-7m.jpg,1,7,
0-1m.jpg,2,1,439229.25931127137
1-2m.jpg,2,2,11.960833722713273
2-3m.jpg,2,3,36.48447903215932
3-4m.jpg,2,4,
4-5m.jpg,2,5,
5-6m.jpg,2,6,
6-7m.jpg,2,7,
0-1m.jpg,3,1,18.401462195332627
1-2m.jpg,3,2,13.958363300156146
2-3m.jpg,3,3,10.467972244640071
3-4m.jpg,3,4,19.245176591795236
4-5m.jpg,3,5,
5-6m.jpg,3,6,4.185662015243054
6-7m.jpg,3,7,
0-1m.jpg,4,1,19.10713403221353
1-2m.jpg,4,2,10.361484502503435
2-3m.jpg,4,3,4.636140442862434
3-4m.jpg,4,4,33.06389979015347
4-5m.jpg,4,5,1.624077958951423
0-1m.jpg,5,1,
1-2m.jpg,5,2,
2-3m.jpg,5,3,
3-4m.jpg,5,4,
4-5m.jpg,5,5,
5-6m.jpg,5,6,
6-7m.jpg,5,7,
0-1m.jpg,6,1,
1-2m.jpg,6,2,
2-3m.jpg,6,3,17.486281975578663
3-4m.jpg,6,4,866294.2791263821
4-5m.jpg,6,5,
5-6m.jpg,6,6,39.65466618314106
6-7m.jpg,6,7,
